                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1528,                0.81103,                 1.4858,                0.77846,                0.82065,                0.84581,                0.46832,                 1.5321,                0.84402,                 1.6803,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1452,                0.79749,                 1.4801,                0.76183,                0.86957,                0.86465,                0.54222,                 1.3235,                0.83923,                 1.5373,               0.001307,               0.001307,               0.001307
                     37,                 1.1299,                0.78381,                 1.4605,                0.75796,                0.88503,                0.88217,                0.51625,                 1.4352,                0.83168,                 1.6143,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1395,                0.80173,                  1.477,                0.78591,                0.82609,                0.86072,                0.54222,                 1.3305,                 0.8184,                  1.538,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1158,                0.76282,                 1.4661,                0.74094,                0.90158,                0.87745,                0.51884,                 1.4001,                0.81769,                 1.5816,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1083,                0.77937,                 1.4573,                0.73437,                0.86957,                0.85182,                0.51815,                 1.4047,                 0.8594,                 1.5888,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0974,                0.76025,                 1.4438,                0.79563,                0.79891,                0.84866,                0.52216,                 1.3851,                0.89423,                 1.5802,               0.001208,               0.001208,               0.001208
                     42,                 1.0896,                0.75403,                 1.4431,                 0.7488,                0.88043,                0.85595,                0.50396,                 1.4524,                0.81585,                 1.6362,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0868,                0.75482,                 1.4331,                0.78668,                0.82176,                0.86176,                0.54659,                 1.3089,                0.82358,                 1.5267,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0728,                0.72648,                 1.4245,                0.77403,                0.83773,                0.86105,                0.55658,                 1.2535,                0.86902,                 1.4913,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.077,                0.73583,                 1.4202,                0.76529,                0.86957,                0.84995,                0.54885,                 1.3032,                0.83227,                 1.4918,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0563,                0.72317,                 1.4024,                0.79591,                0.84779,                0.86094,                0.52855,                  1.378,                0.81989,                 1.5751,               0.001109,               0.001109,               0.001109
                     47,                 1.0467,                0.70791,                 1.4022,                0.78088,                0.81344,                0.87099,                0.55335,                 1.3383,                0.81104,                 1.5729,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0425,                0.70266,                  1.398,                0.75568,                0.86957,                0.85142,                0.53571,                 1.3792,                 0.8328,                 1.5746,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0149,                0.68964,                 1.3824,                0.78408,                0.83152,                0.85551,                0.53871,                 1.3446,                0.84388,                 1.5554,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0118,                0.69792,                  1.383,                0.80094,                0.80909,                0.83094,                0.52823,                 1.3073,                0.84766,                 1.5667,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0074,                0.67418,                 1.3651,                0.76019,                0.86413,                0.86772,                0.55706,                 1.2761,                 0.8468,                 1.4782,                0.00101,                0.00101,                0.00101
                     52,                 1.0035,                0.67658,                 1.3693,                0.74914,                0.88587,                0.87078,                 0.5537,                 1.3323,                0.84418,                 1.5613,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98745,                0.67486,                 1.3602,                0.77153,                0.84239,                0.86859,                0.55184,                 1.3121,                0.81194,                 1.5289,              0.0009704,              0.0009704,              0.0009704
                     54,                0.97973,                0.66363,                 1.3482,                0.82096,                0.84729,                0.87731,                0.53771,                 1.3932,                0.82396,                 1.6218,              0.0009506,              0.0009506,              0.0009506
                     55,                0.96213,                0.64254,                 1.3393,                0.76302,                0.88043,                0.86102,                0.55261,                 1.2444,                0.83248,                 1.4991,              0.0009308,              0.0009308,              0.0009308
                     56,                0.94816,                0.63503,                 1.3256,                0.80125,                0.81067,                0.86244,                0.56685,                 1.2456,                 0.8228,                 1.4602,               0.000911,               0.000911,               0.000911
                     57,                0.94598,                0.63751,                 1.3313,                0.74383,                  0.875,                0.86775,                0.55349,                 1.3061,                0.82907,                 1.5305,              0.0008912,              0.0008912,              0.0008912
                     58,                0.92211,                0.62721,                 1.3107,                0.75161,                0.82227,                0.83475,                0.53879,                   1.28,                0.85627,                  1.518,              0.0008714,              0.0008714,              0.0008714
                     59,                0.93626,                0.62003,                  1.317,                0.76213,                0.83696,                0.86302,                0.54871,                 1.2964,                0.85124,                 1.5207,              0.0008516,              0.0008516,              0.0008516
                     60,                  0.922,                0.61224,                  1.308,                0.77322,                0.84783,                 0.8618,                0.54685,                 1.3121,                0.85626,                 1.5327,              0.0008318,              0.0008318,              0.0008318
                     61,                0.91108,                0.59405,                 1.2941,                0.76047,                0.84239,                0.87375,                0.56307,                 1.2966,                0.79586,                 1.5328,               0.000812,               0.000812,               0.000812
                     62,                0.90322,                0.60613,                 1.2918,                0.80866,                0.82688,                0.87347,                  0.555,                  1.326,                 0.8369,                 1.5425,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.8903,                0.59674,                 1.2857,                 0.7763,                0.84783,                0.87787,                 0.5873,                 1.2425,                0.79246,                 1.4729,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88547,                0.57702,                 1.2786,                0.77676,                0.82065,                0.86308,                 0.5567,                  1.261,                0.86265,                 1.5183,              0.0007526,              0.0007526,              0.0007526
                     65,                0.88603,                0.58882,                 1.2799,                0.76562,                0.85215,                0.87305,                0.57104,                 1.2649,                0.86297,                 1.4885,              0.0007328,              0.0007328,              0.0007328
                     66,                0.86606,                0.56965,                 1.2638,                0.72965,                0.86541,                0.85509,                 0.5552,                 1.2894,                0.85553,                 1.5222,               0.000713,               0.000713,               0.000713
                     67,                0.85315,                 0.5602,                 1.2578,                0.83869,                0.78261,                0.87693,                 0.5894,                 1.2337,                0.84437,                 1.4903,              0.0006932,              0.0006932,              0.0006932
